ii libgpg-error-1.42_1                       Library for error values used by GnuPG component
ii libgpgme-1.15.1_2                         GnuPG Made Easy - library
ii libgudev-236_1                            Library providing GObject bindings for libudev
ii libgudev-devel-236_1                      Library providing GObject bindings for libudev - development files
ii libgusb-0.3.7_1                           GLib wrapper around libusb1
ii libharfbuzz-2.9.1_1                       OpenType text shaping engine - runtime library
ii libheif-1.12.0_2                          ISO/IEC 23008-12:2017 HEIF file format decoder and encoder
ii libhunspell1.7-1.7.0_3                    Spell checker and morphological analyzer - runtime library
ii libical-3.0.10_1                          Reference implementation of the iCalendar data type and format
ii libid3tag-0.15.1b_8                       ID3 tag library, part of MAD (MPEG Audio Decoder)
ii libidn2-2.3.1_1                           Internationalized string handling library
ii libimobiledevice-1.3.0_2                  Library to communicate with Apple devices
ii libinput-1.18.1_1                         Provides handling input devices in Wayland compositors and X
ii libinput-devel-1.18.1_1                   Provides handling input devices in Wayland compositors and X - development files
ii libjack-1.9.19_1                          JACK Audio Connection Kit low-latency sound server (pro audio) - runtime library
ii libjpeg-turbo-2.1.1_1                     Derivative of libjpeg which uses SIMD instructions
ii libkmod-27_3                              Linux kernel module handling - runtime shared library
ii libksba-1.6.0_1                           CMS and X.509 access library
ii libksolid-5.86.0_1                        KDE frameworks - Hardware integration and detection - runtime library
ii libldap-2.4.58_1                          OpenLDAP (Lightweight Directory Access Protocol) library
ii libldns-1.7.1_5                           Modern DNS/DNSSEC library
ii libllvm12-12.0.1_1                        Low Level Virtual Machine - runtime library
ii libltdl-2.4.6_6                           Runtime libraries for GNU Libtool Dynamic Module Loader
ii libluv-1.41.0.0_1                         Bare libuv bindings for LuaJIT
ii liblz4-1.9.3_1                            LZ4 compression library
ii liblzma-5.2.5_2                           XZ-format compression library
ii liblzma-devel-5.2.5_2                     XZ-format compression library - development files
ii libmad-0.15.1b_10                         High-quality MPEG audio decoder
ii libmagic-5.40_3                           File type identification library
ii libmm-glib-1.18.0_1                       Mobile broadband modem management service - GLib library
ii libmnl-1.0.4_2                            Minimalistic user-space library oriented to Netlink developers
ii libmodplug-0.8.9.0_1                      A MOD playing library
ii libmount-2.37.2_1                         Library for mount(8)
ii libmount-devel-2.37.2_1                   Library for mount(8) - development files
ii libmpg123-1.29.0_1                        Fast console MPEG audio decoder/player - Runtime library
ii libmtp-1.1.18_1                           Library for Microsoft's Media Transfer Protocol (MTP)
ii libndctl-70.1_1                           Utility library for managing libnvdimm - ndctl library
ii libndp-1.7_1                              Library for Neighbor Discovery Protocol
ii libnetfilter_conntrack-1.0.8_1            Library providing an API to the in-kernel connection tracking table
ii libnfnetlink-1.0.1_4                      Low-level library for netfilter kernel/userspace communication
ii libnfs-4.0.0_1                            Client library for accessing NFS shares
ii libnftnl-1.2.0_1                          Low-level netlink interface to nf_tables
ii libnl3-3.5.0_1                            Netlink Protocol Library Suite
ii libnm-1.32.12_1                           Network Management daemon - shared libraries
ii libnotify-0.7.9_1                         Desktop notification library
ii libogg-1.3.5_1                            Ogg bitstream file format library
ii libostree-2021.2_1                        Operating system and container binary deployment and upgrades
ii libparted-3.3_1                           GNU Parted disk partition resizing program - shared library
ii libpcap-1.10.1_1                          System-independent interface for user-level packet capture
ii libpciaccess-0.16_1                       X11 PCI Access library
ii libpciaccess-devel-0.16_1                 X11 PCI Access library - development files
ii libpcre-8.45_1                            Perl Compatible Regular Expressions - shared libraries
ii libpcre2-10.36_1                          Perl Compatible Regular Expressions (2nd version) - shared libraries
ii libpcrecpp-8.45_1                         Perl Compatible Regular Expressions - C++ shared libraries
ii libplacebo-2.72.2_1                       Reusable library for GPU-accelerated video/image rendering
ii libplist-2.2.0_1                          Apple Property List library
ii libpng-1.6.37_1                           Library for manipulating PNG images
ii libpostproc-4.3.2_4                       FFmpeg video postprocessing library
ii libproxy-0.4.15_1                         A library handling all the details of proxy configuration
ii libpsl-0.21.1_2                           Public Suffix List library functions
ii libpulseaudio-15.0_2                      Featureful, general-purpose sound server - shared libraries
ii libreadline8-8.1.000_1                    GNU Readline Library
ii librsvg-2.50.3_1                          SVG library for GNOME
ii librtmp-2.4.20161210_10                   Toolkit for RTMP streams - shared library
ii librubberband-1.9.0_1                     Time-stretching and pitch-shifting audio library - Runtime libraries
